GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll,marginal_damage
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,2.428720508166969,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291372,egu,elevated,NA,NOX,15661.624856384626
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,1.464092558983666,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,19415.027501259217
06035,53211,MT. LASSEN POWER,-121.018,40.297,76.22504537205081,38.09814081072844,1.5239256324291377,380.3722222222222,1.0344102407802498,egu,elevated,NA,NOX,4510.955557098143
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,158.0852994555354,64.61444681499543,2.133495885400792,434.8166666666666,18.21136848521792,egu,elevated,NA,NOX,7969.261890858102
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,0.01814882032667876,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,9216.803566910605
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,72.72074355716877,12.191405059433102,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,40530.64218789734
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,81.98734119782213,12.191405059433102,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,40721.0848453043
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,21.73949338475499,30.478512648582747,1.6153611703748858,663.7055555555555,25.241420298689427,egu,elevated,NA,NOX,2093.6683710222537
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,1.060688566243194,30.478512648582747,2.133495885400792,434.81666666666666,15.569094788174336,egu,elevated,NA,NOX,2290.028303720233
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,96.75040834845736,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,7267.13043055424
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,137.8402903811252,47.44936584026892,3.4123293308632157,413.7055555555555,21.300868667707764,egu,elevated,NA,NOX,7104.723174779716
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,52.88050816696914,8.951745346914425,0.24999046548823084,699.8166666666666,19.33139586692901,egu,elevated,NA,NOX,11922.282420127327
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,16.012976406533575,18.28710758914965,3.474550441938433,460.92777777777775,53.62740018287108,egu,elevated,NA,NOX,16408.563338799064
06019,348711,FRESNO COGENERATION PARTNERS,-120.099422,36.61682800000001,1.2740686025408348,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,13404.637231321254
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",-122.21585,38.05712,71.64348457350269,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,6277.390404697726
06029,361111,SUNRISE POWER COMPANY,-119.585,35.2097,43.60921052631579,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,12415.562856016573
06029,410111,DOUBLE C LIMITED,-119.0461,35.5006,1.246176950998185,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,12971.850744420442
06029,412511,BADGER CREEK LIMITED,-119.029933,35.483724,0.7918956442831215,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,13228.414235371898
06029,456011,LIVE OAK LIMITED,-119.009053,35.496231,1.004137931034483,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,14375.288610099671
06029,458111,BEAR MOUNTAIN LIMITED,-118.92654,35.419205,1.464065335753176,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,15742.15780159812
06029,492111,CHALK CLIFF LIMITED,-119.39467,35.09769,1.388149727767695,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,14909.468555408508
12099,533611,SOLID WASTE AUTHORITY OF PBC,-80.14162233333334,26.771985333333333,949.7120689655172,81.79209799444976,2.172629396158212,477.3224154558768,22.691754072317895,egu,elevated,NA,NOX,14151.085139943343
12001,535011,"CITY OF GAINESVILLE, GRU",-82.38859500000001,29.75842,1071.7785843920144,104.13798903387708,5.280882938073912,407.7953400314208,15.164189019833897,egu,elevated,NA,NOX,9950.24910006794
12001,536811,GAINESVILLE REGIONAL UTILITIES,-82.321803,29.646,54.44646098003629,31.088082901554404,4.724169460530326,389.8166666666666,18.95763486741847,egu,elevated,NA,NOX,13062.403974334167
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",-82.54796800000003,27.483272,63.87840381125224,20.42060347455044,3.65742151782993,404.26111111111106,15.452605912831457,egu,elevated,NA,NOX,9505.261082148076
12081,537911,FLORIDA POWER & LIGHT (PMT),-82.34568499999999,27.606119999999997,727.9730798548094,128.74679844687913,7.733983831858807,453.6015446516812,23.851823084568416,egu,elevated,NA,NOX,3443.7947516487757
