measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,194,Kingdom of Lesotho,3,Both,10,25-29 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,0.25661217095843836,0.39603506100470565,0.15343047276074165
1,Deaths,194,Kingdom of Lesotho,3,Both,11,30-34 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,0.8172578122529657,1.3419507117982983,0.47449988223963363
1,Deaths,194,Kingdom of Lesotho,3,Both,12,35-39 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,2.7810656693436058,4.515816749024827,1.586659737599269
1,Deaths,194,Kingdom of Lesotho,3,Both,13,40-44 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,8.609480653878384,14.127633970194,4.861097146489499
1,Deaths,194,Kingdom of Lesotho,3,Both,14,45-49 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,23.70762900904384,40.31812912019914,13.961841542673826
1,Deaths,194,Kingdom of Lesotho,3,Both,15,50-54 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,46.2118344852691,71.94368200980581,26.82927955507628
1,Deaths,194,Kingdom of Lesotho,3,Both,16,55-59 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,74.28148561312304,116.1235997518902,45.517154787934864
1,Deaths,194,Kingdom of Lesotho,3,Both,17,60-64 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,96.96113017471176,140.66708607145063,61.36629228579587
1,Deaths,194,Kingdom of Lesotho,3,Both,18,65-69 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,134.87338139417588,193.99524994445744,89.2181843434348
1,Deaths,194,Kingdom of Lesotho,3,Both,19,70-74 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,141.81812967855245,196.23744607117592,92.91258553943081
1,Deaths,194,Kingdom of Lesotho,3,Both,20,75-79 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,129.51607529955714,185.06452214209625,85.63064724651338
1,Deaths,194,Kingdom of Lesotho,3,Both,21,80+ years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,127.24974424309812,174.82622737781284,86.78930366269408
1,Deaths,194,Kingdom of Lesotho,3,Both,234,75+ years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,128.59251125340222,175.8902573784574,92.54469177435627
1,Deaths,194,Kingdom of Lesotho,3,Both,10,25-29 years,587,Diabetes mellitus,3,Rate,2018,1.4141028382152014,1.974446270056267,0.8824345950127891
1,Deaths,194,Kingdom of Lesotho,3,Both,11,30-34 years,587,Diabetes mellitus,3,Rate,2018,2.2073308321373752,3.1754061274648864,1.413298969061491
1,Deaths,194,Kingdom of Lesotho,3,Both,12,35-39 years,587,Diabetes mellitus,3,Rate,2018,5.095603226606997,7.298437871446076,3.1689622561689683
1,Deaths,194,Kingdom of Lesotho,3,Both,13,40-44 years,587,Diabetes mellitus,3,Rate,2018,14.778892308292562,21.891601195444142,9.186048272274673
1,Deaths,194,Kingdom of Lesotho,3,Both,14,45-49 years,587,Diabetes mellitus,3,Rate,2018,39.94382737269183,59.23093149669503,24.71702935396082
1,Deaths,194,Kingdom of Lesotho,3,Both,15,50-54 years,587,Diabetes mellitus,3,Rate,2018,89.7984491769128,134.56962096984134,55.561991191753634
1,Deaths,194,Kingdom of Lesotho,3,Both,16,55-59 years,587,Diabetes mellitus,3,Rate,2018,172.81952481902778,268.2200324104485,102.98801629493623
1,Deaths,194,Kingdom of Lesotho,3,Both,17,60-64 years,587,Diabetes mellitus,3,Rate,2018,357.073654136735,496.94252953535414,246.61463956001947
1,Deaths,194,Kingdom of Lesotho,3,Both,18,65-69 years,587,Diabetes mellitus,3,Rate,2018,534.376477190178,736.5059731048622,374.1432397677708
1,Deaths,194,Kingdom of Lesotho,3,Both,19,70-74 years,587,Diabetes mellitus,3,Rate,2018,733.0988024773135,1003.0391642323932,525.0667949109159
1,Deaths,194,Kingdom of Lesotho,3,Both,20,75-79 years,587,Diabetes mellitus,3,Rate,2018,976.957868173313,1353.8013254678683,686.7009363620026
1,Deaths,194,Kingdom of Lesotho,3,Both,21,80+ years,587,Diabetes mellitus,3,Rate,2018,1200.4089421129058,1541.8995867728222,925.6169381914658
